"Result:vUSN 4G PDP(2026-06-02 150304)_20260602_145906.csv"
"Save Time:2026-06-02 14:59:06"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:S1 mode bearer resource"

"Total 854 records"

"Start Time","Period (min)","NE Name","UsnFunction","Maximum bearer number in S1 mode (number)"
"2026-04-30 05:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","460343"
"2026-04-30 06:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","479596"
"2026-04-30 07:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","484663"
"2026-04-30 08:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","486042"
"2026-04-30 09:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","485899"
"2026-04-30 10:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","485179"
"2026-04-30 11:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","484026"
"2026-04-30 12:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","482567"
"2026-04-30 13:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","481872"
"2026-04-30 14:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","480599"
"2026-04-30 15:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","480940"
"2026-04-30 16:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","485322"
"2026-04-30 17:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","495322"
"2026-04-30 18:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","509294"
"2026-04-30 19:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","511383"
"2026-04-30 20:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","510783"
"2026-04-30 21:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","501854"
"2026-04-30 22:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","478696"
"2026-04-30 23:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","456215"
"2026-05-01 00:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","439869"
"2026-05-01 01:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","431624"
"2026-05-01 02:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","428188"
"2026-05-01 03:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","429080"
"2026-05-01 04:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","436099"
"2026-05-01 05:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","457243"
"2026-05-01 06:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","478937"
"2026-05-01 07:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","485818"
"2026-05-01 08:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","488562"
