"Result:vUSN SI MM(2026-06-02 145134)_20260602_144751.csv"
"Save Time:2026-06-02 14:47:51"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:S1 mode user resource"

"Total 278 records"

"Start Time","Period (min)","NE Name","UsnFunction","Maximum attached users (number)"
"2026-05-27 10:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","479590"
"2026-05-27 11:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","477598"
"2026-05-27 12:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","474945"
"2026-05-27 13:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","473522"
"2026-05-27 14:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","472862"
"2026-05-27 15:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","475823"
"2026-05-27 16:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","482321"
"2026-05-27 17:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","499772"
"2026-05-27 18:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","513617"
"2026-05-27 19:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","516085"
"2026-05-27 20:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","515624"
"2026-05-27 21:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","499947"
"2026-05-27 22:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","473368"
"2026-05-27 23:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","451568"
"2026-05-28 00:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","438711"
"2026-05-28 01:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","432197"
"2026-05-28 02:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","429457"
"2026-05-28 03:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","431762"
"2026-05-28 04:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","440294"
"2026-05-28 05:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","460869"
"2026-05-28 06:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","482738"
"2026-05-28 07:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","484860"
"2026-05-28 08:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","483760"
"2026-05-28 09:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","481980"
"2026-05-28 10:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","480853"
"2026-05-28 11:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","478753"
"2026-05-28 12:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","476284"
"2026-05-28 13:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","474376"
"2026-05-28 14:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","472902"
"2026-05-28 15:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","475174"
"2026-05-28 16:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","483512"
"2026-05-28 17:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","500560"
"2026-05-28 18:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","514219"
"2026-05-28 19:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","516789"
"2026-05-28 20:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","515603"
"2026-05-28 21:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","499664"
"2026-05-28 22:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","473546"
