"Result:4G bearer SGW-C and PGW-C(1)(2026-06-02 153401)_20260602_153225.csv"
"Save Time:2026-06-02 15:32:25"
"User Name:fraser.msusa"


"NE Type Name:vUGW"

"NE Names:LLG_vCGW01;LLG_vDGW01;LMB_vCGW01;LMB_vDGW01"

"Function Subset Name:SGW-C and PGW-C combined Basic session performance measurement"

"Total 558 records"

"Start Time","Period (min)","NE Name","CGW function","SGW-C and PGW-C combined current active bearers (number)","SGW-C and PGW-C combined current active sessions (number)","SGW-C and PGW-C combined Max number of Active EPS Bearers (number)"
"2026-05-23 08:00:00","60","LMB_vCGW01","nodeName=cgw","490069","489994","491114"
"2026-05-23 08:00:00","60","LLG_vCGW01","nodeName=cgw","518681","518481","519833"
"2026-05-23 09:00:00","60","LMB_vCGW01","nodeName=cgw","486313","486236","489996"
"2026-05-23 09:00:00","60","LLG_vCGW01","nodeName=cgw","517305","517135","518734"
"2026-05-23 10:00:00","60","LMB_vCGW01","nodeName=cgw","483308","483235","486412"
"2026-05-23 10:00:00","60","LLG_vCGW01","nodeName=cgw","515205","515021","517397"
"2026-05-23 11:00:00","60","LMB_vCGW01","nodeName=cgw","478893","478815","483259"
"2026-05-23 11:00:00","60","LLG_vCGW01","nodeName=cgw","513607","513436","515232"
"2026-05-23 12:00:00","60","LMB_vCGW01","nodeName=cgw","480721","480656","480992"
"2026-05-23 12:00:00","60","LLG_vCGW01","nodeName=cgw","513049","512879","513609"
"2026-05-23 13:00:00","60","LMB_vCGW01","nodeName=cgw","475690","475631","481128"
"2026-05-23 13:00:00","60","LLG_vCGW01","nodeName=cgw","516092","515927","516171"
"2026-05-23 14:00:00","60","LMB_vCGW01","nodeName=cgw","479508","479449","479584"
"2026-05-23 14:00:00","60","LLG_vCGW01","nodeName=cgw","515913","515760","517656"
"2026-05-23 15:00:00","60","LMB_vCGW01","nodeName=cgw","484062","483998","484062"
"2026-05-23 15:00:00","60","LLG_vCGW01","nodeName=cgw","517321","517170","517399"
"2026-05-23 16:00:00","60","LMB_vCGW01","nodeName=cgw","486592","486527","486592"
"2026-05-23 16:00:00","60","LLG_vCGW01","nodeName=cgw","521218","521035","521397"
"2026-05-23 17:00:00","60","LMB_vCGW01","nodeName=cgw","509129","509043","509129"
"2026-05-23 17:00:00","60","LLG_vCGW01","nodeName=cgw","532462","532275","532462"
"2026-05-23 18:00:00","60","LMB_vCGW01","nodeName=cgw","526224","526157","526427"
"2026-05-23 18:00:00","60","LLG_vCGW01","nodeName=cgw","544814","544613","544868"
"2026-05-23 19:00:00","60","LMB_vCGW01","nodeName=cgw","528131","528058","529201"
"2026-05-23 19:00:00","60","LLG_vCGW01","nodeName=cgw","542971","542774","546623"
"2026-05-23 20:00:00","60","LMB_vCGW01","nodeName=cgw","510320","510263","528049"
"2026-05-23 20:00:00","60","LLG_vCGW01","nodeName=cgw","529761","529629","542629"
"2026-05-23 21:00:00","60","LLG_vCGW01","nodeName=cgw","504812","504688","529574"
"2026-05-23 21:00:00","60","LMB_vCGW01","nodeName=cgw","482228","482184","510237"
"2026-05-23 22:00:00","60","LMB_vCGW01","nodeName=cgw","460315","460293","482007"
"2026-05-23 22:00:00","60","LLG_vCGW01","nodeName=cgw","483187","483118","504655"
"2026-05-23 23:00:00","60","LMB_vCGW01","nodeName=cgw","447031","447013","460089"
"2026-05-23 23:00:00","60","LLG_vCGW01","nodeName=cgw","468930","468891","482964"
"2026-05-24 00:00:00","60","LMB_vCGW01","nodeName=cgw","438453","438444","445964"
"2026-05-24 00:00:00","60","LLG_vCGW01","nodeName=cgw","459391","459356","467381"
"2026-05-24 01:00:00","60","LMB_vCGW01","nodeName=cgw","435410","435402","438408"
"2026-05-24 01:00:00","60","LLG_vCGW01","nodeName=cgw","455701","455666","459351"
"2026-05-24 02:00:00","60","LMB_vCGW01","nodeName=cgw","434222","434215","435303"
"2026-05-24 02:00:00","60","LLG_vCGW01","nodeName=cgw","454108","454073","455692"
"2026-05-24 03:00:00","60","LMB_vCGW01","nodeName=cgw","435859","435850","435859"
"2026-05-24 03:00:00","60","LLG_vCGW01","nodeName=cgw","455086","455049","455086"
"2026-05-24 04:00:00","60","LMB_vCGW01","nodeName=cgw","442071","442064","442081"
"2026-05-24 04:00:00","60","LLG_vCGW01","nodeName=cgw","461572","461535","461572"
"2026-05-24 05:00:00","60","LMB_vCGW01","nodeName=cgw","462966","462939","462980"
"2026-05-24 05:00:00","60","LLG_vCGW01","nodeName=cgw","481616","481560","481616"
"2026-05-24 06:00:00","60","LMB_vCGW01","nodeName=cgw","485969","485929","486102"
"2026-05-24 06:00:00","60","LLG_vCGW01","nodeName=cgw","505418","505307","505441"
"2026-05-24 07:00:00","60","LMB_vCGW01","nodeName=cgw","491754","491699","491796"
"2026-05-24 07:00:00","60","LLG_vCGW01","nodeName=cgw","512721","512591","512721"
"2026-05-24 08:00:00","60","LMB_vCGW01","nodeName=cgw","491507","491442","492457"
"2026-05-24 08:00:00","60","LLG_vCGW01","nodeName=cgw","513969","513822","514453"
"2026-05-24 09:00:00","60","LMB_vCGW01","nodeName=cgw","487293","487236","491534"
"2026-05-24 09:00:00","60","LLG_vCGW01","nodeName=cgw","510700","510564","513973"
"2026-05-24 10:00:00","60","LMB_vCGW01","nodeName=cgw","484869","484825","487377"
"2026-05-24 10:00:00","60","LLG_vCGW01","nodeName=cgw","507460","507337","510689"
"2026-05-24 11:00:00","60","LMB_vCGW01","nodeName=cgw","483933","483867","485003"
"2026-05-24 11:00:00","60","LLG_vCGW01","nodeName=cgw","505607","505474","507332"
