"Result:VLR Subs(2026-06-02 164542)_20260602_164714.csv"
"Save Time:2026-06-02 16:47:14"
"User Name:fraser.msusa"


"NE Type Name:MSCServer"

"NE Names:HMSCLLG_NEW;HMSCLMB_NEW"

"Function Subset Name:Number of VLR Subscribers"

"Total 1,712 records"

"Start Time","Period (min)","NE Name","Local Zone","Number of Inter-MSC Location Update Subscribers Assigned Local NRIs in VLR (entries)","Peak Number of VLR Subscribers (entries)","Number of POOL Subscribers in VLR (entries)","Number of Local IN Subscribers in VLR (entries)","Number of Roaming IN Subscribers in VLR (entries)","Number of ALS Subscribers in VLR (entries)","Number of AoCC Subscribers in VLR (entries)","Number of AoCI Subscribers in VLR (entries)","Number of BAOC Subscribers in VLR (entries)","Number of BOIC Subscribers in VLR (entries)","Number of BOIC_EXHC Subscribers in VLR (entries)","Number of HOLD Subscribers in VLR (entries)","Number of CT Subscribers in VLR (entries)","Number of CW Subscribers in VLR (entries)","Number of IN Subscribers in VLR (entries)","Number of CFB Subscribers in VLR (entries)","Number of CFNRc Subscribers in VLR (entries)","Number of CFNRy Subscribers in VLR (entries)","Number of CFU Subscribers in VLR (entries)","Number of CLIP Subscribers in VLR (entries)","Number of CLIR Subscribers in VLR (entries)","Number of COLP Subscribers in VLR (entries)","Number of COLR Subscribers in VLR (entries)","Number of CUG Subscribers in VLR (entries)","Number of Data Service Subscribers in VLR (entries)","Number of D_CSI Subscribers in VLR (entries)","Number of GPRS Subscribers in VLR (entries)","Number of Hot Billing Subscribers in VLR (entries)","Number of IMSI Attached Subscribers in VLR (entries)","Number of IMSI Attached International Roaming Subscribers in VLR (entries)","Number of IMSI Attached National Roaming Subscribers in VLR (entries)","Number of IMSI Detached Subscribers in VLR (entries)","Number of International Roaming Subscribers in VLR (entries)","Number of National Roaming Subscribers in VLR (entries)","Number of LCS Subscribers in VLR (entries)","Number of Local Subscribers in VLR (entries)","Number of MO_SMS_CSI Subscribers in VLR (entries)","Number of MPTY Subscribers in VLR (entries)","Number of MT_SMS_CSI Subscribers in VLR (entries)","Number of M_CSI Subscribers in VLR (entries)","Number of ODB Subscribers in VLR (entries)","Number of ODB_BAOC Subscribers in VLR (entries)","Number of ODB_BOIC Subscribers in VLR (entries)","Number of ODB_BOICEXHC Subscribers in VLR (entries)","Number of OTHER_PLMN Subscribers in VLR (entries)","Number of OWN_PLMN Subscribers in VLR (entries)","Number of O_CSI Subscribers in VLR (entries)","Number of Number Range-triggered PPS Subscribers in VLR (entries)","Number of Roaming Subscribers in VLR (entries)","Number of IMSI Attached SIM Subscribers in VLR (entries)","Number of SS_CSI Subscribers in VLR (entries)","Total Number of Subscribers in VLR (entries)","Number of IMSI Attached USIM Subscribers in VLR (entries)","Number of VP Dual-Number Subscribers in VLR (entries)","Number of VT_CSI Subscribers in VLR (entries)","2G subscriber IMSI Attached  Rate (%)","3G subscriber IMSI Attached  Rate (%)","Number of 2G IMSI Attached Subscribers in VLR (entries)","Number of 2G Subscribers in VLR (entries)","Number of 3G IMSI Attached Subscribers in VLR (entries)","Number of 3G Subscribers in VLR (entries)","Number of A Subscribers in CCBS (entries)","Number of B Subscribers in CCBS (entries)","Number of CNAP Subscribers in VLR (entries)","Number of IMSI Attached International Roaming 2G Subscribers in VLR (entries)","Number of IMSI Attached International Roaming 3G Subscribers in VLR (entries)","Number of IMSI Attached National Roaming 2G Subscribers in VLR (entries)","Number of IMSI Attached National Roaming 3G Subscribers in VLR (entries)","Number of International Roaming 2G Subscribers in VLR (entries)","Number of International Roaming 3G Subscribers in VLR (entries)","Number of National Roaming 2G Subscribers in VLR (entries)","Number of National Roaming 3G Subscribers in VLR (entries)","Number of ODB ECT Barred Subscribers (ECT Initiator Charged for Both Calls) (entries)","Number of ODB ECT Barred Subscribers (ECT Initiator Charged for at Least One Call) (entries)","Number of ODB ECT Barred Subscribers (Initiator Charged for at Least One Call at Inter-Zonal Rate) (entries)","Number of ODB ECT Barred Subscribers (Initiator Charged for at Least One Call at International Rate) (entries)","Number of ODB Subscribers Not Allowed to Originate Multiple ECT Services (entries)","Number of SIM Subscribers in VLR (entries)","Number of SIP Subscribers in VLR (entries)","Number of Subscribers with All ODB ECT Services Barred (entries)","Number of Subscribers with All Outgoing Calls Barred When Roaming Outside the HPLMN Country (entries)","Number of Super-Charger Subscribers (entries)","Number of Super-Charger Subscribers Moved to Purge for Long Time No Action (entries)","Number of Super-Charger Subscribers Not Act in Local Office by CancelLocation Notice (entries)","Number of Super-Charger Subscribers Not Act in Local Office by SendIdentification notice (entries)","Number of USIM Subscribers in VLR (entries)","Number of Unknown Subscribers in VLR (entries)"
"2026-05-01 18:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2079594","2056800","2069748","5745","0","0","0","299","285","222655","2075640","455","756158","2075493","414285","423437","415744","49","2075977","14873","3337","11","0","2073601","0","0","0","1778516","5492","0","301352","9323","0","0","2070545","995","2068466","0","0","1234","397","22","660","9323","2070545","2075493","0","9323","18026","0","2079868","1240022","0","0","90.901","84.535","16743","18419","1239343","1466078","0","14","0","55","3570","0","0","62","4487","0","0","0","0","0","0","0","21713","0","0","0","0","0","0","0","1467928","5144"
"2026-05-01 19:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2090029","2066567","2079540","6108","0","0","0","279","260","223946","2085821","463","759070","2085648","416998","426299","418305","47","2086175","14778","3669","4","0","2083418","0","0","0","1770281","5758","0","319688","9647","0","0","2080322","979","2078578","0","0","1295","446","24","647","9647","2080322","2085648","0","9647","18135","0","2089969","1232033","0","0","89.091","83.276","16766","18819","1231394","1478692","0","10","0","66","3786","0","0","73","4730","0","0","0","0","0","0","0","22233","0","0","0","0","0","0","0","1480508","5230"
"2026-05-01 19:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2087560","2064916","2077438","6050","0","0","0","296","278","223225","2083622","455","759544","2083488","416887","426029","418356","51","2083957","14846","3638","11","0","2081333","0","0","0","1767487","5709","0","320339","9640","0","0","2078186","1001","2076486","0","0","1228","389","21","655","9640","2078186","2083488","0","9640","17842","0","2087826","1227415","0","0","89.345","83.212","16528","18499","1226759","1474255","0","14","0","55","3787","0","0","63","4720","0","0","0","0","0","0","0","21869","0","0","0","0","0","0","0","1476103","5218"
"2026-05-01 20:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2092664","2069300","2082358","6197","0","0","0","272","256","224340","2088713","448","760729","2088555","417993","427331","419290","47","2089074","14751","3784","4","0","2086244","0","0","0","1694016","5540","0","398708","9714","0","0","2083010","966","2081495","0","0","1279","445","25","632","9714","2083010","2088555","0","9714","17222","0","2092724","1168000","0","0","85.459","78.799","16138","18884","1167335","1481399","0","10","0","67","3810","0","0","74","4895","0","0","0","0","0","0","0","22205","0","0","0","0","0","0","0","1483215","5137"
"2026-05-01 20:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2091648","2068738","2081158","6194","0","0","0","297","283","223489","2087500","480","760816","2087352","418423","427590","419922","51","2087834","14933","3698","11","0","2085107","0","0","0","1692006","5493","0","399588","9798","0","0","2081796","1024","2080282","0","0","1261","398","21","683","9798","2081796","2087352","0","9798","16879","0","2091594","1164551","0","0","85.433","78.717","15823","18521","1163916","1478601","0","14","0","51","3812","0","0","64","4921","0","0","0","0","0","0","0","21823","0","0","0","0","0","0","0","1480472","5173"
"2026-05-01 21:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2093773","2069555","2083381","6243","0","0","0","276","257","224383","2089782","466","761173","2089624","418805","428192","420106","44","2090151","14752","3799","5","0","2087257","0","0","0","1564320","5155","0","529440","9775","0","0","2083985","978","2082566","0","0","1287","450","28","647","9775","2083985","2089624","0","9775","16120","0","2093760","1064743","0","0","81.159","71.77","15326","18884","1064061","1482607","0","8","0","64","3649","0","0","76","4968","0","0","0","0","0","0","0","22152","0","0","0","0","0","0","0","1484466","5127"
"2026-05-01 21:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2093525","2069772","2082917","6360","0","0","0","288","284","223798","2089419","481","761646","2089277","418844","428028","420373","55","2089743","15022","3780","10","0","2086939","0","0","0","1562651","5194","0","530775","9949","0","0","2083477","1036","2082190","0","0","1258","400","20","683","9949","2083477","2089277","0","9949","15849","0","2093426","1061928","0","0","81.074","71.674","15044","18556","1061279","1480699","0","16","0","48","3718","0","0","65","5089","0","0","0","0","0","0","0","21847","0","0","0","0","0","0","0","1482579","5171"
"2026-05-01 22:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2094454","2070092","2083960","6407","0","0","0","287","285","223958","2090506","486","762239","2090367","419305","428531","420866","54","2090839","15069","3769","10","0","2087975","0","0","0","1455278","4834","0","639240","10016","0","0","2084502","1056","2083292","0","0","1277","400","23","697","10016","2084502","2090367","0","10016","15039","0","2094518","979245","0","0","77.803","66.019","14490","18624","978561","1482239","0","15","0","44","3553","0","0","59","5164","0","0","0","0","0","0","0","21869","0","0","0","0","0","0","0","1484158","5164"
"2026-05-01 22:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2095298","2070288","2084799","6266","0","0","0","280","254","224441","2091238","458","761746","2091065","419435","428801","420708","45","2091596","14717","3812","5","0","2088675","0","0","0","1455818","4763","0","639352","9819","0","0","2085351","957","2084011","0","0","1283","448","26","634","9819","2085351","2091065","0","9819","15196","0","2095170","981467","0","0","77.646","66.057","14641","18856","980812","1484793","0","9","0","64","3478","0","0","75","5028","0","0","0","0","0","0","0","22079","0","0","0","0","0","0","0","1486679","5109"
"2026-05-01 23:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2096221","2070706","2085717","6352","0","0","0","284","253","224537","2092232","455","762051","2092069","419708","429072","420996","48","2092589","14812","3838","5","0","2089599","0","0","0","1397551","4645","0","698602","9894","0","0","2086259","959","2084996","0","0","1280","447","26","632","9894","2086259","2092069","0","9894","14934","0","2096153","938533","0","0","76.686","63.1","14466","18864","937831","1486265","0","9","0","58","3397","0","0","71","5086","0","0","0","0","0","0","0","22089","0","0","0","0","0","0","0","1488172","5132"
"2026-05-01 23:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2095019","2069939","2084354","6469","0","0","0","288","286","223999","2090966","486","762564","2090823","419627","428864","421166","51","2091300","15039","3812","9","0","2088373","0","0","0","1396188","4714","0","698785","10082","0","0","2084891","1054","2083762","0","0","1272","398","23","695","10082","2084891","2090823","0","10082","14717","0","2094973","935253","0","0","76.443","63.022","14246","18636","934573","1482936","0","15","0","45","3492","0","0","62","5190","0","0","0","0","0","0","0","21900","0","0","0","0","0","0","0","1484869","5197"
"2026-05-02 00:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2096714","2070976","2086145","6411","0","0","0","276","255","224518","2092727","455","762230","2092556","419938","429327","421234","47","2093080","14810","3864","4","0","2090069","0","0","0","1359126","4561","0","737514","9962","0","0","2086678","982","2085505","0","0","1306","452","26","646","9962","2086678","2092556","0","9962","14635","0","2096640","909838","0","0","75.135","61.133","14175","18866","909138","1487141","0","8","0","60","3308","0","0","75","5110","0","0","0","0","0","0","0","22140","0","0","0","0","0","0","0","1489035","5168"
"2026-05-02 00:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2095416","2070059","2084791","6491","0","0","0","296","284","224163","2091425","493","762892","2091282","419943","429181","421473","52","2091756","15044","3815","9","0","2088793","0","0","0","1358667","4627","0","736754","10097","0","0","2085324","1034","2084220","0","0","1257","396","23","686","10097","2085324","2091282","0","10097","14527","0","2095421","907698","0","0","75.458","61.123","14079","18658","907004","1483889","0","16","0","43","3422","0","0","62","5218","0","0","0","0","0","0","0","21924","0","0","0","0","0","0","0","1485811","5188"
"2026-05-02 01:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2097079","2071048","2086395","6446","0","0","0","281","254","224584","2093006","454","762419","2092841","420288","429690","421583","47","2093355","14827","3870","4","0","2090326","0","0","0","1348230","4979","0","748686","9996","0","0","2086920","989","2085780","0","0","1300","453","26","644","9996","2086920","2092841","0","9996","14699","0","2096916","904827","0","0","75.495","60.643","14230","18849","903704","1490201","0","8","0","61","3293","0","0","75","5145","0","0","0","0","0","0","0","22094","0","0","0","0","0","0","0","1492118","5162"
"2026-05-02 01:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2095898","2070490","2085250","6494","0","0","0","292","285","224192","2091887","491","763088","2091744","420007","429238","421542","52","2092219","15044","3799","9","0","2089236","0","0","0","1346866","5002","0","749018","10098","0","0","2085786","1029","2084691","0","0","1254","396","23","680","10098","2085786","2091744","0","10098","14489","0","2095884","902074","0","0","75.206","60.578","14059","18694","900968","1487291","0","16","0","43","3399","0","0","62","5232","0","0","0","0","0","0","0","21903","0","0","0","0","0","0","0","1489250","5168"
"2026-05-02 02:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2097092","2071079","2086488","6467","0","0","0","282","255","224673","2093118","451","762654","2092955","420329","429759","421627","50","2093464","14802","3865","4","0","2090438","0","0","0","1343912","5272","0","753101","10000","0","0","2087013","983","2085899","0","0","1297","452","27","642","10000","2087013","2092955","0","10000","14724","0","2097013","899722","0","0","75.091","60.365","14172","18873","898412","1488311","0","9","0","61","3315","0","0","78","5168","0","0","0","0","0","0","0","22119","0","0","0","0","0","0","0","1490195","5130"
"2026-05-02 02:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2096390","2070937","2085739","6530","0","0","0","291","283","224238","2092414","499","763234","2092269","420433","429645","421971","51","2092744","15091","3825","9","0","2089736","0","0","0","1343500","5303","0","752915","10155","0","0","2086260","1041","2085201","0","0","1273","398","23","690","10155","2086260","2092269","0","10155","14608","0","2096415","897464","0","0","75.395","60.317","14089","18687","896149","1485727","0","15","0","45","3396","0","0","65","5254","0","0","0","0","0","0","0","21942","0","0","0","0","0","0","0","1487665","5193"
"2026-05-02 03:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2097212","2071160","2086469","6622","0","0","0","283","257","224617","2093255","464","762947","2093091","420404","429864","421723","48","2093598","14981","3875","4","0","2090428","0","0","0","1358063","4616","0","739103","10188","0","0","2086978","1002","2086011","0","0","1309","450","28","650","10188","2086978","2093091","0","10188","14930","0","2097166","911832","0","0","76.344","61.225","14416","18883","911159","1488219","0","9","0","67","3335","0","0","80","5202","0","0","0","0","0","0","0","22257","0","0","0","0","0","0","0","1490124","5279"
"2026-05-02 03:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2097110","2071495","2086249","6649","0","0","0","291","281","224326","2093033","482","763331","2092898","420681","429906","422198","53","2093363","15190","3822","9","0","2090229","0","0","0","1357516","4571","0","739514","10258","0","0","2086772","1023","2085854","0","0","1257","400","22","686","10258","2086772","2092898","0","10258","14686","0","2097030","909678","0","0","75.973","61.172","14204","18696","909036","1486027","0","15","0","46","3380","0","0","67","5247","0","0","0","0","0","0","0","22041","0","0","0","0","0","0","0","1487976","5294"
"2026-05-02 04:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2097123","2071073","2085924","6617","0","0","0","296","279","224304","2092678","503","763190","2092541","420745","430009","422291","51","2093003","15135","3827","10","0","2089926","0","0","0","1408832","4697","0","687850","10225","0","0","2086457","1045","2085506","0","0","1257","401","22","689","10225","2086457","2092541","0","10225","15201","0","2096682","953115","0","0","78.526","64.11","14700","18720","952422","1485614","0","15","0","45","3450","0","0","64","5226","0","0","0","0","0","0","0","22033","0","0","0","0","0","0","0","1487592","5291"
"2026-05-02 04:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2097546","2071357","2086856","6519","0","0","0","281","260","224764","2093537","452","763366","2093375","420759","430157","422052","49","2093886","14911","3855","3","0","2090760","0","0","0","1409565","4653","0","687910","10074","0","0","2087401","984","2086297","0","0","1319","448","28","654","10074","2087401","2093375","0","10074","15209","0","2097475","955380","0","0","78.157","64.136","14735","18853","954655","1488489","0","9","0","63","3366","0","0","80","5155","0","0","0","0","0","0","0","22148","0","0","0","0","0","0","0","1490409","5215"
"2026-05-02 05:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2098114","2072468","2087449","6432","0","0","0","280","255","224944","2094049","458","763860","2093881","421422","430816","422739","45","2094387","14821","3854","3","0","2091305","0","0","0","1538018","4925","0","560061","10000","0","0","2088079","983","2086861","0","0","1317","446","29","654","10000","2088079","2093881","0","10000","16432","0","2098079","1059905","0","0","83.319","71.19","15744","18896","1059262","1487933","0","9","0","67","3565","0","0","76","5128","0","0","0","0","0","0","0","22229","0","0","0","0","0","0","0","1489811","5211"
"2026-05-02 05:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2097226","2072170","2086502","6578","0","0","0","297","284","224387","2093208","487","763598","2093080","421081","430300","422608","52","2093539","15100","3821","10","0","2090481","0","0","0","1537288","5052","0","560022","10175","0","0","2087135","1037","2086006","0","0","1249","401","22","686","10175","2087135","2093080","0","10175","16331","0","2097310","1057271","0","0","83.398","71.145","15618","18727","1056542","1485050","0","15","0","44","3631","0","0","63","5189","0","0","0","0","0","0","0","22130","0","0","0","0","0","0","0","1486996","5349"
"2026-05-02 06:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2101031","2075528","2090329","6461","0","0","0","293","251","225195","2096966","449","764954","2096790","422598","432009","423942","45","2097314","14875","3867","3","0","2094217","0","0","0","1613196","5374","0","487833","10051","0","0","2090978","975","2089730","0","0","1314","448","27","652","10051","2090978","2096790","0","10051","17439","0","2101029","1112315","0","0","86.581","74.62","16420","18965","1111594","1489673","0","7","0","65","3651","0","0","75","5059","0","0","0","0","0","0","0","22452","0","0","0","0","0","0","0","1491539","5353"
"2026-05-02 06:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2099665","2074955","2089061","6545","0","0","0","286","286","224773","2095727","487","764815","2095606","421980","431230","423478","51","2096047","15036","3827","10","0","2093050","0","0","0","1611865","5360","0","487952","10113","0","0","2089704","1028","2088570","0","0","1244","398","24","674","10113","2089704","2095606","0","10113","17193","0","2099817","1109871","0","0","86.497","74.608","16213","18744","1109153","1486632","0","17","0","49","3692","0","0","60","5100","0","0","0","0","0","0","0","22200","0","0","0","0","0","0","0","1488533","5357"
"2026-05-02 07:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2103645","2078356","2093407","6094","0","0","0","283","252","225261","2099668","477","765629","2099501","423556","432951","424935","48","2100010","14877","3460","3","0","2097321","0","0","0","1605998","5089","0","497707","9666","0","0","2094039","988","2092475","0","0","1311","441","26","665","9666","2094039","2099501","0","9666","17260","0","2103705","1099048","0","0","86.668","73.621","16389","18910","1098317","1491845","0","7","0","63","3480","0","0","70","4847","0","0","0","0","0","0","0","22223","0","0","0","0","0","0","0","1493713","5181"
"2026-05-02 07:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2102667","2078037","2092293","6104","0","0","0","292","288","225166","2098528","480","765841","2098397","422964","432297","424505","46","2098847","15068","3408","10","0","2096282","0","0","0","1604134","5094","0","498493","9677","0","0","2092950","1033","2091370","0","0","1243","397","21","669","9677","2092950","2098397","0","9677","17278","0","2102627","1096070","0","0","86.996","73.556","16410","18863","1095362","1489162","0","15","0","52","3531","0","0","61","4854","0","0","0","0","0","0","0","22170","0","0","0","0","0","0","0","1491053","5198"
"2026-05-02 08:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2106154","2080601","2095862","6051","0","0","0","272","251","225352","2102090","485","766430","2101913","424416","433847","425841","48","2102418","14981","3387","3","0","2099824","0","0","0","1594775","5098","0","511356","9636","0","0","2096495","1005","2094859","0","0","1325","449","22","671","9636","2096495","2101913","0","9636","17337","0","2106131","1087661","0","0","86.599","72.74","16453","18999","1086926","1494267","0","7","0","72","3468","0","0","80","4827","0","0","0","0","0","0","0","22311","0","0","0","0","0","0","0","1496140","5185"
"2026-05-02 08:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2105795","2080986","2095606","6039","0","0","0","300","291","225541","2101762","477","767138","2101645","424052","433389","425560","44","2102098","15118","3338","11","0","2099608","0","0","0","1592929","5137","0","512926","9604","0","0","2096251","1029","2094602","0","0","1222","394","25","660","9604","2096251","2101645","0","9604","17181","0","2105855","1084984","0","0","86.606","72.632","16314","18837","1084216","1492753","0","15","0","55","3516","0","0","63","4807","0","0","0","0","0","0","0","22096","0","0","0","0","0","0","0","1494666","5172"
"2026-05-02 09:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2108734","2083287","2098470","6086","0","0","0","282","250","225515","2104718","492","767624","2104556","425185","434668","426636","47","2105053","15044","3423","4","0","2102493","0","0","0","1587471","5090","0","521315","9654","0","0","2099132","1018","2097465","0","0","1328","444","24","682","9654","2099132","2104556","0","9654","17271","0","2108786","1082705","0","0","86.025","72.297","16386","19048","1082007","1496618","0","7","0","69","3479","0","0","78","4808","0","0","0","0","0","0","0","22385","0","0","0","0","0","0","0","1498510","5229"
"2026-05-02 09:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2108974","2084104","2098789","5968","0","0","0","291","292","225872","2104877","467","768076","2104757","425085","434393","426566","46","2105217","15142","3254","10","0","2102740","0","0","0","1586641","4975","0","522349","9554","0","0","2099436","1011","2097711","0","0","1230","397","23","654","9554","2099436","2104757","0","9554","17026","0","2108990","1080378","0","0","85.772","72.207","16168","18850","1079654","1495218","0","15","0","49","3411","0","0","61","4715","0","0","0","0","0","0","0","22128","0","0","0","0","0","0","0","1497165","5225"
"2026-05-02 10:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2101196","2017296","2031852","6007","0","0","0","290","296","220242","2037972","468","742354","2037859","402336","411554","403782","44","2038316","14921","3295","10","0","2035870","0","0","0","1516751","4932","0","525289","9550","0","0","2032490","1002","2030933","0","0","1215","384","23","654","9550","2032490","2037859","0","9550","16247","0","2042040","1014187","0","0","85.104","70.929","15351","18038","1013526","1428940","0","15","0","52","3394","0","0","64","4723","0","0","0","0","0","0","0","21343","0","0","0","0","0","0","0","1430857","5222"
"2026-05-02 10:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2099245","2016835","2032001","6050","0","0","0","288","240","220262","2038223","482","741808","2038051","402754","412093","404103","51","2038564","14841","3410","4","0","2036034","0","0","0","1517575","5076","0","524699","9638","0","0","2032636","998","2031103","0","0","1314","447","24","671","9638","2032636","2038051","0","9638","16527","0","2042274","1016648","0","0","85.516","70.984","15611","18255","1015920","1431204","0","7","0","74","3413","0","0","82","4751","0","0","0","0","0","0","0","21592","0","0","0","0","0","0","0","1433118","5251"
"2026-05-02 11:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2059948","2034790","2049759","6080","0","0","0","294","250","221778","2055989","478","748587","2055839","408732","418079","410046","52","2056332","14921","3402","6","0","2053788","0","0","0","1543653","5128","0","516398","9637","0","0","2050414","984","2048849","0","0","1291","445","24","658","9637","2050414","2055839","0","9637","16797","0","2060051","1044668","0","0","85.757","72.036","15829","18458","1043915","1449166","0","7","0","80","3372","0","0","90","4687","0","0","0","0","0","0","0","21821","0","0","0","0","0","0","0","1451113","5310"
"2026-05-02 11:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2059782","2035267","2049840","6002","0","0","0","286","287","221789","2055974","474","749522","2055842","408253","417572","409736","43","2056300","14943","3336","9","0","2053921","0","0","0","1543233","4974","0","516823","9549","0","0","2050507","1005","2048885","0","0","1222","386","21","655","9549","2050507","2055842","0","9549","16597","0","2060056","1042714","0","0","85.649","72.007","15690","18319","1042042","1447131","0","15","0","52","3390","0","0","62","4706","0","0","0","0","0","0","0","21619","0","0","0","0","0","0","0","1449061","5230"
"2026-05-02 12:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2070058","2045025","2059825","6099","0","0","0","292","245","222497","2066077","453","752577","2065924","412017","421413","413327","50","2066419","14899","3466","6","0","2063970","0","0","0","1563134","5129","0","507027","9685","0","0","2060476","971","2058894","0","0","1280","447","22","644","9685","2060476","2065924","0","9685","17054","0","2070161","1063639","0","0","86.232","72.85","16072","18638","1062959","1459116","0","7","0","87","3426","0","0","93","4703","0","0","0","0","0","0","0","22050","0","0","0","0","0","0","0","1461054","5350"
"2026-05-02 12:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2070443","2045835","2060337","6020","0","0","0","288","292","222694","2066488","482","753429","2066357","411633","421016","413123","45","2066815","14995","3358","7","0","2064449","0","0","0","1562564","5053","0","508003","9572","0","0","2060995","1014","2059407","0","0","1225","383","24","660","9572","2060995","2066357","0","9572","16907","0","2070567","1061085","0","0","86.438","72.762","15908","18404","1060392","1457343","0","15","0","53","3360","0","0","64","4643","0","0","0","0","0","0","0","21795","0","0","0","0","0","0","0","1459285","5333"
"2026-05-02 13:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2078233","2053224","2067998","5965","0","0","0","293","243","223269","2074131","464","755856","2073963","414508","423866","415832","54","2074461","14870","3386","3","0","2072103","0","0","0","1579497","5052","0","498736","9583","0","0","2068650","983","2066933","0","0","1277","436","22","650","9583","2068650","2073963","0","9583","17079","0","2078233","1080114","0","0","86.353","73.58","16173","18729","1079399","1466966","0","9","0","80","3394","0","0","91","4637","0","0","0","0","0","0","0","22053","0","0","0","0","0","0","0","1468928","5286"
"2026-05-02 13:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2078110","2053810","2068059","6006","0","0","0","287","295","223057","2074189","478","755919","2074065","414349","423796","415850","44","2074515","15122","3367","10","0","2072189","0","0","0","1578858","5059","0","499408","9572","0","0","2068694","1020","2067069","0","0","1235","392","23","666","9572","2068694","2074065","0","9572","16984","0","2078266","1077805","0","0","86.504","73.518","16011","18509","1077120","1465115","0","16","0","55","3407","0","0","67","4649","0","0","0","0","0","0","0","21859","0","0","0","0","0","0","0","1467069","5304"
"2026-05-02 14:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2085535","2060713","2075359","5930","0","0","0","289","244","223702","2081452","468","758237","2081289","416584","426003","417910","51","2081786","14897","3382","4","0","2079405","0","0","0","1600959","5101","0","484633","9548","0","0","2076044","983","2074236","0","0","1281","434","21","654","9548","2076044","2081289","0","9548","17327","0","2085592","1100462","0","0","87.089","74.642","16384","18813","1099711","1473320","0","8","0","80","3384","0","0","88","4620","0","0","0","0","0","0","0","22105","0","0","0","0","0","0","0","1475298","5270"
"2026-05-02 14:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2084336","2060160","2074356","5948","0","0","0","289","294","223459","2080434","479","758516","2080304","416565","425953","418075","47","2080760","15180","3316","9","0","2078493","0","0","0","1599967","5047","0","484572","9537","0","0","2075002","1016","2073310","0","0","1238","400","24","666","9537","2075002","2080304","0","9537","17087","0","2084539","1097908","0","0","87.052","74.587","16162","18566","1097193","1471025","0","16","0","52","3414","0","0","65","4642","0","0","0","0","0","0","0","21844","0","0","0","0","0","0","0","1473004","5257"
