"Result:vUSN 2G PDP(2026-06-02 145623)_20260602_145259.csv"
"Save Time:2026-06-02 14:52:59"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:Gb mode SM resource"

"Total 278 records"

"Start Time","Period (min)","NE Name","UsnFunction","Gb mode maximum act PDP context (number)"
"2026-05-24 04:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","8188"
"2026-05-24 05:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","9187"
"2026-05-24 06:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","10556"
"2026-05-24 07:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","10820"
"2026-05-24 08:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","10750"
"2026-05-24 09:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","11067"
"2026-05-24 10:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","11832"
"2026-05-24 11:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","12679"
"2026-05-24 12:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","13211"
"2026-05-24 13:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","13134"
"2026-05-24 14:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","13075"
"2026-05-24 15:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","12816"
"2026-05-24 16:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","13061"
"2026-05-24 17:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","14878"
"2026-05-24 18:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","16524"
"2026-05-24 19:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","17199"
"2026-05-24 20:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","17208"
"2026-05-24 21:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","16429"
"2026-05-24 22:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","13108"
"2026-05-24 23:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","11236"
"2026-05-25 00:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","10821"
"2026-05-25 01:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","10551"
