"Result:vMGW License Usage(2026-06-02 154429)_20260602_154545.csv"
"Save Time:2026-06-02 15:45:45"
"User Name:fraser.msusa"


"NE Type Name:CloudSE2980"

"NE Names:CloudSBC01_SBC;LLWVMGW01;LMBVMGW01"

"Function Subset Name:License Resource Usage Measurement (MGW)"

"Total 837 records"

"Start Time","Period (min)","NE Name","Software System","License Resource Usage for Basic Software on the MGW (%)"
"2026-05-23 11:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","28"
"2026-05-23 11:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","18"
"2026-05-23 11:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 12:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","19"
"2026-05-23 12:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","28"
"2026-05-23 12:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 13:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 13:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","19"
"2026-05-23 13:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-23 14:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 14:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","20"
"2026-05-23 14:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-23 15:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 15:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","20"
"2026-05-23 15:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-23 16:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 16:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","24"
"2026-05-23 16:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","36"
"2026-05-23 17:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 17:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","47"
"2026-05-23 17:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","34"
"2026-05-23 18:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 18:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","53"
"2026-05-23 18:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","40"
"2026-05-23 19:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 19:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","52"
"2026-05-23 19:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","40"
"2026-05-23 20:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 20:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","50"
"2026-05-23 20:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","37"
"2026-05-23 21:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","24"
"2026-05-23 21:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 21:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","35"
"2026-05-23 22:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 22:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","15"
"2026-05-23 22:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","11"
"2026-05-23 23:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 23:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","6"
"2026-05-23 23:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","4"
"2026-05-24 00:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 00:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","2"
"2026-05-24 00:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","2"
"2026-05-24 01:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 01:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-24 01:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-24 02:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 02:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-24 02:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-24 03:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 03:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-24 03:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-24 04:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 04:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","5"
"2026-05-24 04:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","3"
"2026-05-24 05:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 05:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","22"
"2026-05-24 05:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","15"
"2026-05-24 06:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","20"
"2026-05-24 06:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","28"
"2026-05-24 06:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 07:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","28"
"2026-05-24 07:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","20"
"2026-05-24 07:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 08:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 08:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","27"
"2026-05-24 08:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","19"
"2026-05-24 09:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 09:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","26"
"2026-05-24 09:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","18"
"2026-05-24 10:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 10:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","25"
"2026-05-24 10:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","16"
"2026-05-24 11:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 11:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","26"
"2026-05-24 11:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","17"
"2026-05-24 12:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 12:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-24 12:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","20"
